"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"1182",594577,"Mayers, Mike","1182","100.0","0.255","0.181","0.333","0.435","0.326","0.296","0.218","69","271","88.9","16.4","2280","90.6","89.47","166","566","616","-1.1","6.01","112","158","118","150","303","326","300"
"1182",612434,"Castro, Miguel","1182","100.0","0.195","0.114","0.247","0.309","0.291","0.317","0.215","48","246","85.9","8.3","2462","92.5","92.79","161","495","687","0.3","6.62","111","154","113","149","300","326","300"
"1181",642203,"Widener, Taylor","1181","100.0","0.243","0.217","0.278","0.460","0.347","0.355","0.246","64","263","88.3","17.4","2089","89.9","90.25","126","544","637","0.4","6.59","108","152","116","150","295","325","296"
"1177",640448,"Finnegan, Kyle","1177","100.0","0.252","0.144","0.311","0.396","0.320","0.291","0.218","63","250","87.7","8.1","1979","93.1","93.85","141","566","611","0.7","6.62","108","152","117","145","302","321","296"
"1177",621249,"Underwood Jr., Duane","1177","100.0","0.270","0.168","0.316","0.439","0.333","0.340","0.272","77","285","89.1","8.5","2059","88.8","89.15","127","534","643","0.3","6.46","109","150","118","147","301","321","292"
"1176",663738,"Lynch, Daniel","1176","100.0","0.284","0.175","0.323","0.459","0.354","0.367","0.273","73","257","89.7","15.0","2023","89.3","89.73","151","563","613","0.4","6.55","106","157","116","144","302","324","298"
"1170",663986,"Stephan, Trevor","1170","100.0","0.238","0.242","0.276","0.479","0.344","0.347","0.240","57","240","89.5","16.5","2354","91.4","91.98","170","556","614","0.6","6.60","111","152","122","149","292","317","291"
"1170",608718,"Suter, Brent","1170","100.0","0.250","0.152","0.302","0.402","0.304","0.287","0.235","69","276","84.5","8.0","2146","85.9","86.75","120","571","599","0.9","7.13","108","153","117","147","300","323","298"
"1170",650893,"Cabrera, Génesis","1170","100.0","0.212","0.102","0.292","0.314","0.283","0.287","0.202","52","245","87.2","12.1","2218","93.1","91.87","147","563","607","-1.2","6.03","112","153","118","147","297","317","296"
"1160",453268,"Bard, Daniel","1160","100.0","0.278","0.173","0.372","0.452","0.362","0.316","0.234","69","248","87.8","13.1","2762","92.2","91.78","158","535","624","-0.4","6.13","110","150","118","145","302","330","305"
"1157",593576,"Neris, Héctor","1157","100.0","0.199","0.172","0.258","0.371","0.285","0.255","0.178","51","256","85.5","11.7","1809","89.9","89.44","193","566","591","-0.5","6.23","111","151","114","148","296","324","294"
"1148",656876,"Rasmussen, Drew","1148","100.0","0.212","0.110","0.270","0.322","0.263","0.300","0.248","56","264","91.2","8.9","2493","93.4","93.78","138","533","615","0.4","6.53","109","152","114","151","300","322","294"
"1145",456034,"Price, David","1145","100.0","0.270","0.145","0.315","0.415","0.324","0.305","0.249","76","282","85.5","7.3","1917","89.9","89.46","117","562","583","-0.4","5.98","109","154","113","150","300","318","292"
"1140",676477,"Whitlock, Garrett","1140","100.0","0.235","0.118","0.305","0.353","0.275","0.266","0.228","64","272","87.6","7.5","2036","91.3","92.10","158","575","565","0.8","7.29","111","154","119","148","291","325","296"
"1139",605507,"Thompson, Zach","1139","100.0","0.223","0.148","0.264","0.371","0.290","0.295","0.225","59","264","86.4","13.6","2328","87.0","87.03","145","557","582","0.0","6.33","108","151","119","148","298","320","287"
"1139",605242,"Fulmer, Michael","1139","100.0","0.256","0.122","0.324","0.378","0.301","0.298","0.240","67","262","86.5","11.5","2234","92.5","92.90","169","561","578","0.4","6.56","108","154","119","149","298","329","300"
"1136",669060,"Wilson, Bryse","1136","100.0","0.290","0.215","0.297","0.505","0.353","0.355","0.284","85","293","87.1","13.4","1974","89.5","90.16","112","582","554","0.7","6.59","108","152","121","148","300","320","293"
"1131",642397,"Soto, Gregory","1131","100.0","0.198","0.121","0.258","0.319","0.285","0.290","0.195","46","232","88.1","10.2","2373","94.5","95.15","160","511","620","0.7","6.77","108","152","117","148","298","327","299"
"1130",570663,"Robles, Hansel","1130","100.0","0.231","0.178","0.300","0.409","0.324","0.336","0.235","56","242","89.9","10.7","2070","93.5","92.12","136","558","572","-1.4","6.11","108","155","115","149","297","329","296"
"1126",592773,"Stanek, Ryne","1126","100.0","0.188","0.129","0.243","0.317","0.277","0.308","0.204","45","240","90.2","18.5","1989","93.5","92.91","172","532","594","-0.6","6.09","112","154","117","150","292","322","293"
"1123",642152,"Trivino, Lou","1123","100.0","0.211","0.090","0.261","0.301","0.274","0.310","0.226","54","256","87.1","9.6","2055","92.3","91.38","122","525","598","-0.9","6.58","110","149","117","150","301","328","302"
"1123",680686,"Gray, Josiah","1123","100.0","0.245","0.273","0.263","0.518","0.356","0.324","0.217","60","245","86.5","20.3","2266","89.9","88.75","169","554","569","-1.2","5.49","111","155","119","145","301","322","295"
"1122",656849,"Peterson, David","1122","100.0","0.255","0.199","0.310","0.454","0.346","0.363","0.274","64","251","88.9","8.8","2088","88.4","89.65","132","525","597","1.3","7.10","111","152","111","149","300","326","297"
"1118",664208,"Maton, Phil","1118","100.0","0.252","0.161","0.350","0.413","0.330","0.295","0.207","61","242","87.9","13.4","2679","85.8","87.12","192","546","572","1.3","7.07","113","154","118","149","293","319","292"
